ten,gia,donvitinh,ngaycapnhat
"Bánh chưng loại 1,5kg/cái",150000.0,Cái,2020-08-10 00:00:00
"Bánh chưng loại 1,5kg/cái",100000.0,Kg,2020-08-10 00:00:00
Bánh hộp Danisa butter cookie 454gr,130000.0,Hộp,2020-08-10 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-08-10 00:00:00
Bánh hộp thiết Bibica Goody Gold 450gr ,95000.0,Hộp,2020-08-10 00:00:00
Bắp cải Đà Lạt,18000.0,Kg,2020-08-10 00:00:00
Bắp cải Đà Lạt (lặt sạch),17000.0,Kg,2020-08-10 00:00:00
Bia Heineken lon (thùng 24 lon),400000.0,Thùng,2020-08-10 00:00:00
Bia lon 333 Sài gòn (thùng 24 lon),250000.0,Thùng,2020-08-10 00:00:00
Bia Tiger lon (thùng 24 lon),340000.0,Thùng,2020-08-10 00:00:00
Bí xanh,17000.0,Kg,2020-08-10 00:00:00
"Bông cải xanh, bông cải trắng Đà lạ",35000.0,KG,2020-08-10 00:00:00
Bột ngọt Ajinomoto (VN 453gr/gói),30000.0,Gói,2020-08-10 00:00:00
Bưởi năm roi (da xanh) (trái 1 kg),45000.0,Trái,2020-08-10 00:00:00
Bưởi năm roi (trái 1kg),40000.0,Trái,2020-08-10 00:00:00
Cá bạc má,80000.0,Kg,2020-08-10 00:00:00
Cá basa,45000.0,Kg,2020-08-10 00:00:00
Cà chua,25000.0,Kg,2020-08-10 00:00:00
"Cá diêu hồng (con trên 0,7k/g)",65000.0,Kg,2020-08-10 00:00:00
Cá hường,90000.0,Kg,2020-08-10 00:00:00
Cải xanh,25000.0,Kg,2020-08-10 00:00:00
"Cá lóc nuôi bè (0,5kg/con)",80000.0,Kg,2020-08-10 00:00:00
Cam sành (loại 4-5 trái/kg),25000.0,Kg,2020-08-10 00:00:00
Cá nục,70000.0,Kg,2020-08-10 00:00:00
Cà rốt Đà Lạt,25000.0,Kg,2020-08-10 00:00:00
Cá thác lác,350000.0,Kg,2020-08-10 00:00:00
Cá thu,250000.0,Kg,2020-08-10 00:00:00
Chả bò (CS. Định),220000.0,Kg,2020-08-10 00:00:00
Chả lụa (Phương Nam),220000.0,Kg,2020-08-10 00:00:00
Chân giò,85000.0,Kg,2020-08-10 00:00:00
Chanh giấy,18000.0,Kg,2020-08-10 00:00:00
Công giữ xe đạp,2000.0,Lượt,2020-08-10 00:00:00
Công giữ xe gắn máy,5000.0,Lượt,2020-08-10 00:00:00
Củ cải trắng,8000.0,Kg,2020-08-10 00:00:00
Dầu ăn tổng hợp Nakydaco (chai 1 lít),22000.0,Lít,2020-08-10 00:00:00
Dầu ăn tổng hợp Naptune (chai 1 lít),45000.0,Lít,2020-08-10 00:00:00
Dầu ăn tổng hợp Tường An (chai 1 lít),37000.0,Lít,2020-08-10 00:00:00
Dầu hỏa,10270.0,Lít,2020-08-10 00:00:00
Đậu phộng (cũ) loại 1,70000.0,Kg,2020-08-10 00:00:00
Đậu xanh mỡ hạt loại 1,50000.0,Kg,2020-08-10 00:00:00
"DO 0,001S-V",12590.0,Lít,2020-08-10 00:00:00
"DO 0,05S-II",12390.0,Lít,2020-08-10 00:00:00
